Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2020-11-27,682.3690185546875,684.8080074601961,670.3872810499112,678.0830833467495,17994580
2020-12-01,678.7933959960938,686.2287011031041,675.0993881452553,682.3689490895632,17147574
2020-12-02,666.314453125,678.0831583416536,660.5604065585568,677.7042649084215,17892150
2020-12-03,652.22509765625,678.1777323249325,650.7333423290647,676.7569689192239,37933222
2020-12-04,656.2031860351562,663.7095404385426,650.3780912973605,654.0246939101837,26912322
2020-12-07,649.880859375,653.527462315225,643.1795804342909,651.1832258266534,24316318
2020-12-08,651.7989501953125,657.7187980398132,646.5184343558151,651.1832628950788,19457896
2020-12-09,666.4327392578125,667.7825107573249,651.206937503077,652.1304106028376,22069074
2020-12-10,656.3216552734375,663.9701099711853,651.5384299521099,662.0757587301833,19727966
2020-12-11,654.8772583007812,660.6550065599108,650.2360745568154,658.3107699836195,21356384
2020-12-14,649.83349609375,657.3398509855255,647.8680952076361,654.9719120410531,17222050
2020-12-15,658.9027099609375,660.6312591314887,646.9209158475564,653.9300382066189,21561436
2020-12-16,668.09033203125,670.9792640576541,660.4182322709024,664.9173166786283,16832092
2020-12-17,682.8189697265625,684.334427687693,665.1541201988684,671.8316971698117,21924478
2020-12-18,668.398193359375,681.824397200528,666.0066094291611,679.5985574538313,22995918
2020-12-21,650.0703125,674.3179850066851,647.2524303718895,671.3107140052659,23761824
2020-12-22,650.283447265625,655.8244596437975,636.9756406113383,655.8244596437975,22851558
2020-12-23,651.4910888671875,654.0010695985399,644.5767183346328,647.6313366151035,15467394
2020-12-24,661.6495971679688,664.9173650112106,652.1304926071488,658.0029937178846,14952188
2020-12-28,669.1085205078125,672.9682726910083,664.9172799846416,665.3908677908984,11699194
2020-12-29,675.904541015625,679.48015232617,672.4947316976208,672.9920220532118,14495346
2020-12-30,678.41455078125,681.9191122043819,669.1795883098822,681.9191122043819,16216726
2020-12-31,680.2142333984375,683.8608366188828,674.8863702322585,679.5985460859396,22145750
2021-01-01,674.8864135742188,683.3872926697853,672.7789128776417,681.9665290675612,8810938
2021-01-04,670.6004028320312,681.0193356443933,662.549409295206,681.0193356443933,15740192
2021-01-05,675.6676025390625,677.5856560019631,667.2851227026148,672.1156945048044,14386824
2021-01-06,672.7551879882812,681.9664477871121,669.2269241099976,679.5985087322957,22134050
2021-01-07,670.7188110351562,678.4619610337114,668.9665590663031,678.4146138096108,19894842
2021-01-08,678.0120849609375,682.9137078482687,673.9628855521313,678.1778291530658,13768764
2021-01-11,687.3890380859375,693.758829135686,680.2142286543354,686.7023588514919,17331392
2021-01-12,701.383544921875,704.5565601168332,686.276082257034,687.8625898545131,20388156
2021-01-13,696.4819946289062,708.9136758960336,692.432795320349,707.0193244648524,16934650
2021-01-14,695.5821533203125,704.6987194148936,689.5439082446808,696.7187757202818,12297166
2021-01-15,694.5875244140625,696.9554632980903,684.3343374840208,695.7477913428329,14165236
2021-01-18,702.3780517578125,711.731410769727,694.7532997710615,696.1267159476713,42825632
2021-01-19,712.2050170898438,715.8990251352752,694.7533178392471,706.4983186612751,17360254
2021-01-20,706.5929565429688,710.8552464953057,703.7514299080775,710.8552464953057,13346052
2021-01-21,698.4473266601562,707.7059336769149,695.2979561553767,706.5930138834698,26333054
2021-01-22,683.647705078125,695.1795566696569,682.0374949646825,695.1795566696569,15392364
2021-01-25,692.7879638671875,701.3835947711163,689.1413606041951,693.853536512856,20344718
2021-01-27,667.5693969726562,697.073942054867,665.9355420753217,695.2269379463488,23556276
2021-01-28,649.5020141601562,663.6386573049136,635.5548755229009,658.2397444156159,42704446
2021-01-29,658.5238037109375,667.1667806384634,646.2105215128186,658.926341759059,28704502
2021-02-01,699.3707885742188,702.0939184433921,663.4965124716306,667.8771996524747,26370544
